Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\diode\Project Outputs for Diode\39\Pick Place for Panelized_THICCEST.csv

========================================================================================================================
File Design Information:

Date:       19/02/21
Time:       00:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D26","SS210","TopLayer","DO-214AC","6.9913","35.4508","170","DIODE - HyperFast 1kV","7.0000","35.5000","8.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","6.9913","31.0492","10","DIODE - HyperFast 1kV","7.0000","31.0000","5.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","6.9913","26.4508","170","DIODE - HyperFast 1kV","7.0000","26.5000","8.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","6.9913","22.0492","10","DIODE - HyperFast 1kV","7.0000","22.0000","5.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","6.9913","17.4508","170","DIODE - HyperFast 1kV","7.0000","17.5000","8.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","6.9913","40.0492","10","DIODE - HyperFast 1kV","7.0000","40.0000","5.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","6.9913","44.4508","170","DIODE - HyperFast 1kV","7.0000","44.5000","8.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","6.9913","49.0492","10","DIODE - HyperFast 1kV","7.0000","49.0000","5.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","6.9913","53.4508","170","DIODE - HyperFast 1kV","7.0000","53.5000","8.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","6.9913","58.0492","10","DIODE - HyperFast 1kV","7.0000","58.0000","5.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","6.9913","62.4508","170","DIODE - HyperFast 1kV","7.0000","62.5000","8.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","6.9913","67.0492","10","DIODE - HyperFast 1kV","7.0000","67.0000","5.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","6.9913","71.4508","170","DIODE - HyperFast 1kV","7.0000","71.5000","8.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","6.9913","76.0492","10","DIODE - HyperFast 1kV","7.0000","76.0000","5.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","6.9913","80.4508","170","DIODE - HyperFast 1kV","7.0000","80.5000","8.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","6.9913","85.0492","10","DIODE - HyperFast 1kV","7.0000","85.0000","5.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","6.9913","89.4508","170","DIODE - HyperFast 1kV","7.0000","89.5000","8.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","6.9913","94.0492","10","DIODE - HyperFast 1kV","7.0000","94.0000","5.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","6.9913","98.4508","170","DIODE - HyperFast 1kV","7.0000","98.5000","8.8711","98.1701"
"D11","SS210","TopLayer","DO-214AC","6.9913","103.0492","10","DIODE - HyperFast 1kV","7.0000","103.0000","5.1289","102.6701"
"D10","SS210","TopLayer","DO-214AC","6.9913","107.4508","170","DIODE - HyperFast 1kV","7.0000","107.5000","8.8711","107.1701"
"D9","SS210","TopLayer","DO-214AC","6.9913","112.0492","10","DIODE - HyperFast 1kV","7.0000","112.0000","5.1289","111.6701"
"D8","SS210","TopLayer","DO-214AC","6.9913","116.4508","170","DIODE - HyperFast 1kV","7.0000","116.5000","8.8711","116.1701"
"D7","SS210","TopLayer","DO-214AC","6.9913","121.0492","10","DIODE - HyperFast 1kV","7.0000","121.0000","5.1289","120.6701"
"D6","SS210","TopLayer","DO-214AC","6.9913","125.4508","170","DIODE - HyperFast 1kV","7.0000","125.5000","8.8711","125.1701"
"D5","SS210","TopLayer","DO-214AC","6.9913","130.0492","10","DIODE - HyperFast 1kV","7.0000","130.0000","5.1289","129.6701"
"D4","SS210","TopLayer","DO-214AC","6.9913","134.4508","170","DIODE - HyperFast 1kV","7.0000","134.5000","8.8711","134.1701"
"D3","SS210","TopLayer","DO-214AC","6.9913","139.0492","10","DIODE - HyperFast 1kV","7.0000","139.0000","5.1289","138.6701"
"D2","SS210","TopLayer","DO-214AC","6.9913","143.4508","170","DIODE - HyperFast 1kV","7.0000","143.5000","8.8711","143.1701"
"D1","SS210","TopLayer","DO-214AC","6.9913","148.0492","10","DIODE - HyperFast 1kV","7.0000","148.0000","5.1289","147.6701"
"D26","SS210","TopLayer","DO-214AC","18.9913","35.4508","170","DIODE - HyperFast 1kV","19.0000","35.5000","20.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","18.9913","31.0492","10","DIODE - HyperFast 1kV","19.0000","31.0000","17.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","18.9913","26.4508","170","DIODE - HyperFast 1kV","19.0000","26.5000","20.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","18.9913","22.0492","10","DIODE - HyperFast 1kV","19.0000","22.0000","17.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","18.9913","17.4508","170","DIODE - HyperFast 1kV","19.0000","17.5000","20.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","18.9913","40.0492","10","DIODE - HyperFast 1kV","19.0000","40.0000","17.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","18.9913","44.4508","170","DIODE - HyperFast 1kV","19.0000","44.5000","20.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","18.9913","49.0492","10","DIODE - HyperFast 1kV","19.0000","49.0000","17.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","18.9913","53.4508","170","DIODE - HyperFast 1kV","19.0000","53.5000","20.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","18.9913","58.0492","10","DIODE - HyperFast 1kV","19.0000","58.0000","17.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","18.9913","62.4508","170","DIODE - HyperFast 1kV","19.0000","62.5000","20.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","18.9913","67.0492","10","DIODE - HyperFast 1kV","19.0000","67.0000","17.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","18.9913","71.4508","170","DIODE - HyperFast 1kV","19.0000","71.5000","20.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","18.9913","76.0492","10","DIODE - HyperFast 1kV","19.0000","76.0000","17.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","18.9913","80.4508","170","DIODE - HyperFast 1kV","19.0000","80.5000","20.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","18.9913","85.0492","10","DIODE - HyperFast 1kV","19.0000","85.0000","17.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","18.9913","89.4508","170","DIODE - HyperFast 1kV","19.0000","89.5000","20.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","18.9913","94.0492","10","DIODE - HyperFast 1kV","19.0000","94.0000","17.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","18.9913","98.4508","170","DIODE - HyperFast 1kV","19.0000","98.5000","20.8711","98.1701"
"D11","SS210","TopLayer","DO-214AC","18.9913","103.0492","10","DIODE - HyperFast 1kV","19.0000","103.0000","17.1289","102.6701"
"D10","SS210","TopLayer","DO-214AC","18.9913","107.4508","170","DIODE - HyperFast 1kV","19.0000","107.5000","20.8711","107.1701"
"D9","SS210","TopLayer","DO-214AC","18.9913","112.0492","10","DIODE - HyperFast 1kV","19.0000","112.0000","17.1289","111.6701"
"D8","SS210","TopLayer","DO-214AC","18.9913","116.4508","170","DIODE - HyperFast 1kV","19.0000","116.5000","20.8711","116.1701"
"D7","SS210","TopLayer","DO-214AC","18.9913","121.0492","10","DIODE - HyperFast 1kV","19.0000","121.0000","17.1289","120.6701"
"D6","SS210","TopLayer","DO-214AC","18.9913","125.4508","170","DIODE - HyperFast 1kV","19.0000","125.5000","20.8711","125.1701"
"D5","SS210","TopLayer","DO-214AC","18.9913","130.0492","10","DIODE - HyperFast 1kV","19.0000","130.0000","17.1289","129.6701"
"D4","SS210","TopLayer","DO-214AC","18.9913","134.4508","170","DIODE - HyperFast 1kV","19.0000","134.5000","20.8711","134.1701"
"D3","SS210","TopLayer","DO-214AC","18.9913","139.0492","10","DIODE - HyperFast 1kV","19.0000","139.0000","17.1289","138.6701"
"D2","SS210","TopLayer","DO-214AC","18.9913","143.4508","170","DIODE - HyperFast 1kV","19.0000","143.5000","20.8711","143.1701"
"D1","SS210","TopLayer","DO-214AC","18.9913","148.0492","10","DIODE - HyperFast 1kV","19.0000","148.0000","17.1289","147.6701"
"D26","SS210","TopLayer","DO-214AC","30.9913","35.4508","170","DIODE - HyperFast 1kV","31.0000","35.5000","32.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","30.9913","31.0492","10","DIODE - HyperFast 1kV","31.0000","31.0000","29.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","30.9913","26.4508","170","DIODE - HyperFast 1kV","31.0000","26.5000","32.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","30.9913","22.0492","10","DIODE - HyperFast 1kV","31.0000","22.0000","29.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","30.9913","17.4508","170","DIODE - HyperFast 1kV","31.0000","17.5000","32.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","30.9913","40.0492","10","DIODE - HyperFast 1kV","31.0000","40.0000","29.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","30.9913","44.4508","170","DIODE - HyperFast 1kV","31.0000","44.5000","32.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","30.9913","49.0492","10","DIODE - HyperFast 1kV","31.0000","49.0000","29.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","30.9913","53.4508","170","DIODE - HyperFast 1kV","31.0000","53.5000","32.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","30.9913","58.0492","10","DIODE - HyperFast 1kV","31.0000","58.0000","29.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","30.9913","62.4508","170","DIODE - HyperFast 1kV","31.0000","62.5000","32.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","30.9913","67.0492","10","DIODE - HyperFast 1kV","31.0000","67.0000","29.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","30.9913","71.4508","170","DIODE - HyperFast 1kV","31.0000","71.5000","32.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","30.9913","76.0492","10","DIODE - HyperFast 1kV","31.0000","76.0000","29.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","30.9913","80.4508","170","DIODE - HyperFast 1kV","31.0000","80.5000","32.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","30.9913","85.0492","10","DIODE - HyperFast 1kV","31.0000","85.0000","29.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","30.9913","89.4508","170","DIODE - HyperFast 1kV","31.0000","89.5000","32.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","30.9913","94.0492","10","DIODE - HyperFast 1kV","31.0000","94.0000","29.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","30.9913","98.4508","170","DIODE - HyperFast 1kV","31.0000","98.5000","32.8711","98.1701"
"D11","SS210","TopLayer","DO-214AC","30.9913","103.0492","10","DIODE - HyperFast 1kV","31.0000","103.0000","29.1289","102.6701"
"D10","SS210","TopLayer","DO-214AC","30.9913","107.4508","170","DIODE - HyperFast 1kV","31.0000","107.5000","32.8711","107.1701"
"D9","SS210","TopLayer","DO-214AC","30.9913","112.0492","10","DIODE - HyperFast 1kV","31.0000","112.0000","29.1289","111.6701"
"D8","SS210","TopLayer","DO-214AC","30.9913","116.4508","170","DIODE - HyperFast 1kV","31.0000","116.5000","32.8711","116.1701"
"D7","SS210","TopLayer","DO-214AC","30.9913","121.0492","10","DIODE - HyperFast 1kV","31.0000","121.0000","29.1289","120.6701"
"D6","SS210","TopLayer","DO-214AC","30.9913","125.4508","170","DIODE - HyperFast 1kV","31.0000","125.5000","32.8711","125.1701"
"D5","SS210","TopLayer","DO-214AC","30.9913","130.0492","10","DIODE - HyperFast 1kV","31.0000","130.0000","29.1289","129.6701"
"D4","SS210","TopLayer","DO-214AC","30.9913","134.4508","170","DIODE - HyperFast 1kV","31.0000","134.5000","32.8711","134.1701"
"D3","SS210","TopLayer","DO-214AC","30.9913","139.0492","10","DIODE - HyperFast 1kV","31.0000","139.0000","29.1289","138.6701"
"D2","SS210","TopLayer","DO-214AC","30.9913","143.4508","170","DIODE - HyperFast 1kV","31.0000","143.5000","32.8711","143.1701"
"D1","SS210","TopLayer","DO-214AC","30.9913","148.0492","10","DIODE - HyperFast 1kV","31.0000","148.0000","29.1289","147.6701"
"D26","SS210","TopLayer","DO-214AC","42.9913","35.4508","170","DIODE - HyperFast 1kV","43.0000","35.5000","44.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","42.9913","31.0492","10","DIODE - HyperFast 1kV","43.0000","31.0000","41.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","42.9913","26.4508","170","DIODE - HyperFast 1kV","43.0000","26.5000","44.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","42.9913","22.0492","10","DIODE - HyperFast 1kV","43.0000","22.0000","41.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","42.9913","17.4508","170","DIODE - HyperFast 1kV","43.0000","17.5000","44.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","42.9913","40.0492","10","DIODE - HyperFast 1kV","43.0000","40.0000","41.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","42.9913","44.4508","170","DIODE - HyperFast 1kV","43.0000","44.5000","44.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","42.9913","49.0492","10","DIODE - HyperFast 1kV","43.0000","49.0000","41.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","42.9913","53.4508","170","DIODE - HyperFast 1kV","43.0000","53.5000","44.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","42.9913","58.0492","10","DIODE - HyperFast 1kV","43.0000","58.0000","41.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","42.9913","62.4508","170","DIODE - HyperFast 1kV","43.0000","62.5000","44.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","42.9913","67.0492","10","DIODE - HyperFast 1kV","43.0000","67.0000","41.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","42.9913","71.4508","170","DIODE - HyperFast 1kV","43.0000","71.5000","44.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","42.9913","76.0492","10","DIODE - HyperFast 1kV","43.0000","76.0000","41.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","42.9913","80.4508","170","DIODE - HyperFast 1kV","43.0000","80.5000","44.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","42.9913","85.0492","10","DIODE - HyperFast 1kV","43.0000","85.0000","41.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","42.9913","89.4508","170","DIODE - HyperFast 1kV","43.0000","89.5000","44.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","42.9913","94.0492","10","DIODE - HyperFast 1kV","43.0000","94.0000","41.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","42.9913","98.4508","170","DIODE - HyperFast 1kV","43.0000","98.5000","44.8711","98.1701"
"D11","SS210","TopLayer","DO-214AC","42.9913","103.0492","10","DIODE - HyperFast 1kV","43.0000","103.0000","41.1289","102.6701"
"D10","SS210","TopLayer","DO-214AC","42.9913","107.4508","170","DIODE - HyperFast 1kV","43.0000","107.5000","44.8711","107.1701"
"D9","SS210","TopLayer","DO-214AC","42.9913","112.0492","10","DIODE - HyperFast 1kV","43.0000","112.0000","41.1289","111.6701"
"D8","SS210","TopLayer","DO-214AC","42.9913","116.4508","170","DIODE - HyperFast 1kV","43.0000","116.5000","44.8711","116.1701"
"D7","SS210","TopLayer","DO-214AC","42.9913","121.0492","10","DIODE - HyperFast 1kV","43.0000","121.0000","41.1289","120.6701"
"D6","SS210","TopLayer","DO-214AC","42.9913","125.4508","170","DIODE - HyperFast 1kV","43.0000","125.5000","44.8711","125.1701"
"D5","SS210","TopLayer","DO-214AC","42.9913","130.0492","10","DIODE - HyperFast 1kV","43.0000","130.0000","41.1289","129.6701"
"D4","SS210","TopLayer","DO-214AC","42.9913","134.4508","170","DIODE - HyperFast 1kV","43.0000","134.5000","44.8711","134.1701"
"D3","SS210","TopLayer","DO-214AC","42.9913","139.0492","10","DIODE - HyperFast 1kV","43.0000","139.0000","41.1289","138.6701"
"D2","SS210","TopLayer","DO-214AC","42.9913","143.4508","170","DIODE - HyperFast 1kV","43.0000","143.5000","44.8711","143.1701"
"D1","SS210","TopLayer","DO-214AC","42.9913","148.0492","10","DIODE - HyperFast 1kV","43.0000","148.0000","41.1289","147.6701"
"D26","SS210","TopLayer","DO-214AC","54.9913","35.4508","170","DIODE - HyperFast 1kV","55.0000","35.5000","56.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","54.9913","31.0492","10","DIODE - HyperFast 1kV","55.0000","31.0000","53.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","54.9913","26.4508","170","DIODE - HyperFast 1kV","55.0000","26.5000","56.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","54.9913","22.0492","10","DIODE - HyperFast 1kV","55.0000","22.0000","53.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","54.9913","17.4508","170","DIODE - HyperFast 1kV","55.0000","17.5000","56.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","54.9913","40.0492","10","DIODE - HyperFast 1kV","55.0000","40.0000","53.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","54.9913","44.4508","170","DIODE - HyperFast 1kV","55.0000","44.5000","56.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","54.9913","49.0492","10","DIODE - HyperFast 1kV","55.0000","49.0000","53.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","54.9913","53.4508","170","DIODE - HyperFast 1kV","55.0000","53.5000","56.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","54.9913","58.0492","10","DIODE - HyperFast 1kV","55.0000","58.0000","53.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","54.9913","62.4508","170","DIODE - HyperFast 1kV","55.0000","62.5000","56.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","54.9913","67.0492","10","DIODE - HyperFast 1kV","55.0000","67.0000","53.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","54.9913","71.4508","170","DIODE - HyperFast 1kV","55.0000","71.5000","56.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","54.9913","76.0492","10","DIODE - HyperFast 1kV","55.0000","76.0000","53.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","54.9913","80.4508","170","DIODE - HyperFast 1kV","55.0000","80.5000","56.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","54.9913","85.0492","10","DIODE - HyperFast 1kV","55.0000","85.0000","53.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","54.9913","89.4508","170","DIODE - HyperFast 1kV","55.0000","89.5000","56.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","54.9913","94.0492","10","DIODE - HyperFast 1kV","55.0000","94.0000","53.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","54.9913","98.4508","170","DIODE - HyperFast 1kV","55.0000","98.5000","56.8711","98.1701"
"D11","SS210","TopLayer","DO-214AC","54.9913","103.0492","10","DIODE - HyperFast 1kV","55.0000","103.0000","53.1289","102.6701"
"D10","SS210","TopLayer","DO-214AC","54.9913","107.4508","170","DIODE - HyperFast 1kV","55.0000","107.5000","56.8711","107.1701"
"D9","SS210","TopLayer","DO-214AC","54.9913","112.0492","10","DIODE - HyperFast 1kV","55.0000","112.0000","53.1289","111.6701"
"D8","SS210","TopLayer","DO-214AC","54.9913","116.4508","170","DIODE - HyperFast 1kV","55.0000","116.5000","56.8711","116.1701"
"D7","SS210","TopLayer","DO-214AC","54.9913","121.0492","10","DIODE - HyperFast 1kV","55.0000","121.0000","53.1289","120.6701"
"D6","SS210","TopLayer","DO-214AC","54.9913","125.4508","170","DIODE - HyperFast 1kV","55.0000","125.5000","56.8711","125.1701"
"D5","SS210","TopLayer","DO-214AC","54.9913","130.0492","10","DIODE - HyperFast 1kV","55.0000","130.0000","53.1289","129.6701"
"D4","SS210","TopLayer","DO-214AC","54.9913","134.4508","170","DIODE - HyperFast 1kV","55.0000","134.5000","56.8711","134.1701"
"D3","SS210","TopLayer","DO-214AC","54.9913","139.0492","10","DIODE - HyperFast 1kV","55.0000","139.0000","53.1289","138.6701"
"D2","SS210","TopLayer","DO-214AC","54.9913","143.4508","170","DIODE - HyperFast 1kV","55.0000","143.5000","56.8711","143.1701"
"D1","SS210","TopLayer","DO-214AC","54.9913","148.0492","10","DIODE - HyperFast 1kV","55.0000","148.0000","53.1289","147.6701"
"D26","SS210","TopLayer","DO-214AC","66.9913","35.4508","170","DIODE - HyperFast 1kV","67.0000","35.5000","68.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","66.9913","31.0492","10","DIODE - HyperFast 1kV","67.0000","31.0000","65.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","66.9913","26.4508","170","DIODE - HyperFast 1kV","67.0000","26.5000","68.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","66.9913","22.0492","10","DIODE - HyperFast 1kV","67.0000","22.0000","65.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","66.9913","17.4508","170","DIODE - HyperFast 1kV","67.0000","17.5000","68.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","66.9913","40.0492","10","DIODE - HyperFast 1kV","67.0000","40.0000","65.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","66.9913","44.4508","170","DIODE - HyperFast 1kV","67.0000","44.5000","68.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","66.9913","49.0492","10","DIODE - HyperFast 1kV","67.0000","49.0000","65.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","66.9913","53.4508","170","DIODE - HyperFast 1kV","67.0000","53.5000","68.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","66.9913","58.0492","10","DIODE - HyperFast 1kV","67.0000","58.0000","65.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","66.9913","62.4508","170","DIODE - HyperFast 1kV","67.0000","62.5000","68.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","66.9913","67.0492","10","DIODE - HyperFast 1kV","67.0000","67.0000","65.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","66.9913","71.4508","170","DIODE - HyperFast 1kV","67.0000","71.5000","68.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","66.9913","76.0492","10","DIODE - HyperFast 1kV","67.0000","76.0000","65.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","66.9913","80.4508","170","DIODE - HyperFast 1kV","67.0000","80.5000","68.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","66.9913","85.0492","10","DIODE - HyperFast 1kV","67.0000","85.0000","65.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","66.9913","89.4508","170","DIODE - HyperFast 1kV","67.0000","89.5000","68.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","66.9913","94.0492","10","DIODE - HyperFast 1kV","67.0000","94.0000","65.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","66.9913","98.4508","170","DIODE - HyperFast 1kV","67.0000","98.5000","68.8711","98.1701"
"D11","SS210","TopLayer","DO-214AC","66.9913","103.0492","10","DIODE - HyperFast 1kV","67.0000","103.0000","65.1289","102.6701"
"D10","SS210","TopLayer","DO-214AC","66.9913","107.4508","170","DIODE - HyperFast 1kV","67.0000","107.5000","68.8711","107.1701"
"D9","SS210","TopLayer","DO-214AC","66.9913","112.0492","10","DIODE - HyperFast 1kV","67.0000","112.0000","65.1289","111.6701"
"D8","SS210","TopLayer","DO-214AC","66.9913","116.4508","170","DIODE - HyperFast 1kV","67.0000","116.5000","68.8711","116.1701"
"D7","SS210","TopLayer","DO-214AC","66.9913","121.0492","10","DIODE - HyperFast 1kV","67.0000","121.0000","65.1289","120.6701"
"D6","SS210","TopLayer","DO-214AC","66.9913","125.4508","170","DIODE - HyperFast 1kV","67.0000","125.5000","68.8711","125.1701"
"D5","SS210","TopLayer","DO-214AC","66.9913","130.0492","10","DIODE - HyperFast 1kV","67.0000","130.0000","65.1289","129.6701"
"D4","SS210","TopLayer","DO-214AC","66.9913","134.4508","170","DIODE - HyperFast 1kV","67.0000","134.5000","68.8711","134.1701"
"D3","SS210","TopLayer","DO-214AC","66.9913","139.0492","10","DIODE - HyperFast 1kV","67.0000","139.0000","65.1289","138.6701"
"D2","SS210","TopLayer","DO-214AC","66.9913","143.4508","170","DIODE - HyperFast 1kV","67.0000","143.5000","68.8711","143.1701"
"D1","SS210","TopLayer","DO-214AC","66.9913","148.0492","10","DIODE - HyperFast 1kV","67.0000","148.0000","65.1289","147.6701"
"D26","SS210","TopLayer","DO-214AC","78.9913","35.4508","170","DIODE - HyperFast 1kV","79.0000","35.5000","80.8711","35.1701"
"D27","SS210","TopLayer","DO-214AC","78.9913","31.0492","10","DIODE - HyperFast 1kV","79.0000","31.0000","77.1289","30.6701"
"D28","SS210","TopLayer","DO-214AC","78.9913","26.4508","170","DIODE - HyperFast 1kV","79.0000","26.5000","80.8711","26.1701"
"D29","SS210","TopLayer","DO-214AC","78.9913","22.0492","10","DIODE - HyperFast 1kV","79.0000","22.0000","77.1289","21.6701"
"D30","SS210","TopLayer","DO-214AC","78.9913","17.4508","170","DIODE - HyperFast 1kV","79.0000","17.5000","80.8711","17.1701"
"D25","SS210","TopLayer","DO-214AC","78.9913","40.0492","10","DIODE - HyperFast 1kV","79.0000","40.0000","77.1289","39.6701"
"D24","SS210","TopLayer","DO-214AC","78.9913","44.4508","170","DIODE - HyperFast 1kV","79.0000","44.5000","80.8711","44.1701"
"D23","SS210","TopLayer","DO-214AC","78.9913","49.0492","10","DIODE - HyperFast 1kV","79.0000","49.0000","77.1289","48.6701"
"D22","SS210","TopLayer","DO-214AC","78.9913","53.4508","170","DIODE - HyperFast 1kV","79.0000","53.5000","80.8711","53.1701"
"D21","SS210","TopLayer","DO-214AC","78.9913","58.0492","10","DIODE - HyperFast 1kV","79.0000","58.0000","77.1289","57.6701"
"D20","SS210","TopLayer","DO-214AC","78.9913","62.4508","170","DIODE - HyperFast 1kV","79.0000","62.5000","80.8711","62.1701"
"D19","SS210","TopLayer","DO-214AC","78.9913","67.0492","10","DIODE - HyperFast 1kV","79.0000","67.0000","77.1289","66.6701"
"D18","SS210","TopLayer","DO-214AC","78.9913","71.4508","170","DIODE - HyperFast 1kV","79.0000","71.5000","80.8711","71.1701"
"D17","SS210","TopLayer","DO-214AC","78.9913","76.0492","10","DIODE - HyperFast 1kV","79.0000","76.0000","77.1289","75.6701"
"D16","SS210","TopLayer","DO-214AC","78.9913","80.4508","170","DIODE - HyperFast 1kV","79.0000","80.5000","80.8711","80.1701"
"D15","SS210","TopLayer","DO-214AC","78.9913","85.0492","10","DIODE - HyperFast 1kV","79.0000","85.0000","77.1289","84.6701"
"D14","SS210","TopLayer","DO-214AC","78.9913","89.4508","170","DIODE - HyperFast 1kV","79.0000","89.5000","80.8711","89.1701"
"D13","SS210","TopLayer","DO-214AC","78.9913","94.0492","10","DIODE - HyperFast 1kV","79.0000","94.0000","77.1289","93.6701"
"D12","SS210","TopLayer","DO-214AC","78.9913","98.4508","170","DIODE - HyperFast 1kV","79.0000","98.5000","80.8711","98.1701"
